Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
430.00	30.000	0.99730	1.0027	34.340	37.348	125.60	93.604	111.38	259.65	0.67449	12.496	0.038982	vapor	vapor, P = 30 bar
440.00	30.000	0.95893	1.0428	35.336	38.464	128.16	95.180	111.92	265.88	0.62111	12.724	0.040440	vapor	vapor, P = 30 bar
450.00	30.000	0.92441	1.0818	36.342	39.587	130.69	96.785	112.67	271.76	0.57447	12.953	0.041944	vapor	vapor, P = 30 bar
														
280.00	40.000	11.937	0.083771	9.3230	9.6581	46.063	70.433	109.95	889.62	-0.022591	123.67	0.10568	liquid	liquid, P = 40 bar
290.00	40.000	11.629	0.085990	10.430	10.774	49.978	72.046	113.25	826.57	-0.015981	111.99	0.10082	liquid	liquid, P = 40 bar
300.00	40.000	11.303	0.088475	11.571	11.925	53.879	73.749	117.02	762.78	-0.0078584	101.27	0.096120	liquid	liquid, P = 40 bar
310.00	40.000	10.952	0.091307	12.751	13.116	57.787	75.546	121.46	697.80	0.0024356	91.327	0.091577	liquid	liquid, P = 40 bar
320.00	40.000	10.570	0.094607	13.979	14.357	61.725	77.448	126.88	630.95	0.016030	81.988	0.087159	liquid	liquid, P = 40 bar
330.00	40.000	10.144	0.098578	15.265	15.659	65.732	79.486	133.90	561.14	0.035041	73.067	0.082821	liquid	liquid, P = 40 bar
340.00	40.000	9.6527	0.10360	16.630	17.045	69.867	81.730	143.94	486.49	0.064000	64.333	0.078480	liquid	liquid, P = 40 bar
350.00	40.000	9.0483	0.11052	18.119	18.561	74.261	84.374	161.16	403.03	0.11501	55.385	0.073978	liquid	liquid, P = 40 bar
360.00	40.000	8.1810	0.12224	19.864	20.353	79.306	88.282	207.42	298.91	0.23910	45.111	0.068999	liquid	liquid, P = 40 bar
366.52	40.000	6.9036	0.14485	21.628	22.207	84.404	97.434	569.62	179.54	0.65304	33.768	0.069012	liquid	liquid, P = 40 bar
366.52	40.000	3.1758	0.31488	25.439	26.698	96.657	104.84	828.25	148.50	1.7264	15.141	0.058182	vapor	vapor, P = 40 bar
370.00	40.000	2.6119	0.38286	26.580	28.111	100.50	95.014	270.09	165.74	1.6060	13.730	0.042820	vapor	vapor, P = 40 bar
380.00	40.000	2.1227	0.47110	28.199	30.084	105.76	90.940	161.58	189.63	1.3075	12.922	0.037850	vapor	vapor, P = 40 bar
390.00	40.000	1.8846	0.53061	29.442	31.564	109.61	90.618	138.30	205.48	1.1144	12.760	0.037280	vapor	vapor, P = 40 bar
400.00	40.000	1.7250	0.57971	30.573	32.891	112.97	91.199	128.32	218.05	0.97431	12.770	0.037676	vapor	vapor, P = 40 bar
410.00	40.000	1.6051	0.62302	31.654	34.146	116.07	92.172	123.12	228.70	0.86580	12.860	0.038488	vapor	vapor, P = 40 bar
420.00	40.000	1.5093	0.66256	32.711	35.362	119.00	93.359	120.24	238.05	0.77828	12.992	0.039534	vapor	vapor, P = 40 bar
430.00	40.000	1.4298	0.69941	33.758	36.555	121.81	94.679	118.67	246.44	0.70575	13.152	0.040731	vapor	vapor, P = 40 bar
440.00	40.000	1.3620	0.73422	34.801	37.738	124.53	96.088	117.92	254.10	0.64449	13.328	0.042037	vapor	vapor, P = 40 bar
450.00	40.000	1.3030	0.76745	35.846	38.916	127.17	97.558	117.73	261.18	0.59196	13.517	0.043426	vapor	vapor, P = 40 bar
