Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
320.00	40.000	9.5326	0.10490	17.955	18.375	79.582	104.90	147.24	831.19	-0.022213	138.03	0.099111	liquid	liquid, P = 40 bar
330.00	40.000	9.3232	0.10726	19.436	19.865	84.167	107.11	150.87	780.29	-0.017191	126.42	0.095488	liquid	liquid, P = 40 bar
340.00	40.000	9.1036	0.10985	20.954	21.393	88.729	109.37	154.81	729.15	-0.011264	115.73	0.092005	liquid	liquid, P = 40 bar
350.00	40.000	8.8718	0.11272	22.512	22.962	93.278	111.69	159.14	677.52	-0.0041216	105.80	0.088659	liquid	liquid, P = 40 bar
360.00	40.000	8.6250	0.11594	24.114	24.578	97.828	114.07	163.99	625.09	0.0047117	96.494	0.085442	liquid	liquid, P = 40 bar
370.00	40.000	8.3592	0.11963	25.766	26.245	102.40	116.53	169.58	571.39	0.016004	87.690	0.082342	liquid	liquid, P = 40 bar
380.00	40.000	8.0682	0.12394	27.477	27.973	107.00	119.10	176.27	515.76	0.031089	79.257	0.079340	liquid	liquid, P = 40 bar
390.00	40.000	7.7426	0.12915	29.260	29.776	111.69	121.83	184.82	457.18	0.052521	71.051	0.076402	liquid	liquid, P = 40 bar
400.00	40.000	7.3648	0.13578	31.138	31.681	116.51	124.82	196.97	393.91	0.085967	62.868	0.073468	liquid	liquid, P = 40 bar
410.00	40.000	6.8958	0.14502	33.164	33.744	121.60	128.32	218.06	322.56	0.14732	54.319	0.070433	liquid	liquid, P = 40 bar
420.00	40.000	6.2067	0.16112	35.510	36.154	127.41	133.14	277.88	234.19	0.30781	44.232	0.067141	liquid	liquid, P = 40 bar
