Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
370.00	10.000	0.35513	2.8159	30.047	32.863	122.41	80.914	93.052	258.55	0.97946	10.173	0.027779	vapor	vapor, P = 10 bar
375.00	10.000	0.34891	2.8661	30.464	33.330	123.67	81.811	93.745	261.01	0.93713	10.306	0.028450	vapor	vapor, P = 10 bar
380.00	10.000	0.34296	2.9158	30.885	33.801	124.91	82.712	94.459	263.42	0.89756	10.439	0.029129	vapor	vapor, P = 10 bar
385.00	10.000	0.33726	2.9651	31.310	34.275	126.15	83.617	95.193	265.78	0.86052	10.571	0.029815	vapor	vapor, P = 10 bar
390.00	10.000	0.33178	3.0141	31.738	34.753	127.39	84.526	95.944	268.10	0.82578	10.703	0.030508	vapor	vapor, P = 10 bar
395.00	10.000	0.32651	3.0627	32.171	35.234	128.61	85.436	96.710	270.38	0.79317	10.833	0.031208	vapor	vapor, P = 10 bar
400.00	10.000	0.32144	3.1110	32.609	35.720	129.84	86.349	97.488	272.61	0.76251	10.964	0.031915	vapor	vapor, P = 10 bar
405.00	10.000	0.31655	3.1591	33.050	36.209	131.05	87.262	98.276	274.81	0.73364	11.094	0.032630	vapor	vapor, P = 10 bar
410.00	10.000	0.31183	3.2069	33.496	36.702	132.26	88.176	99.074	276.98	0.70643	11.223	0.033352	vapor	vapor, P = 10 bar
415.00	10.000	0.30728	3.2544	33.945	37.200	133.47	89.090	99.880	279.11	0.68075	11.352	0.034080	vapor	vapor, P = 10 bar
420.00	10.000	0.30288	3.3017	34.400	37.701	134.67	90.002	100.69	281.21	0.65649	11.480	0.034816	vapor	vapor, P = 10 bar
425.00	10.000	0.29862	3.3487	34.858	38.207	135.87	90.914	101.51	283.28	0.63354	11.608	0.035559	vapor	vapor, P = 10 bar
430.00	10.000	0.29450	3.3956	35.321	38.716	137.06	91.824	102.33	285.32	0.61180	11.735	0.036310	vapor	vapor, P = 10 bar
435.00	10.000	0.29051	3.4423	35.788	39.230	138.25	92.731	103.16	287.34	0.59120	11.862	0.037067	vapor	vapor, P = 10 bar
440.00	10.000	0.28664	3.4887	36.259	39.748	139.43	93.636	103.98	289.33	0.57166	11.988	0.037831	vapor	vapor, P = 10 bar
445.00	10.000	0.28288	3.5351	36.735	40.270	140.61	94.539	104.81	291.30	0.55309	12.114	0.038603	vapor	vapor, P = 10 bar
450.00	10.000	0.27923	3.5812	37.215	40.796	141.78	95.438	105.64	293.25	0.53544	12.239	0.039381	vapor	vapor, P = 10 bar
455.00	10.000	0.27569	3.6272	37.699	41.326	142.96	96.333	106.48	295.17	0.51864	12.364	0.040167	vapor	vapor, P = 10 bar
														
280.00	25.000	11.868	0.084258	9.4119	9.6225	46.386	70.410	110.89	868.78	-0.020335	120.92	0.10431	liquid	liquid, P = 25 bar
285.00	25.000	11.711	0.085392	9.9678	10.181	48.364	71.216	112.63	836.10	-0.016823	114.92	0.10181	liquid	liquid, P = 25 bar
290.00	25.000	11.548	0.086593	10.533	10.749	50.339	72.047	114.49	803.13	-0.012912	109.18	0.099353	liquid	liquid, P = 25 bar
295.00	25.000	11.380	0.087871	11.107	11.326	52.313	72.903	116.51	769.82	-0.0085218	103.66	0.096929	liquid	liquid, P = 25 bar
300.00	25.000	11.206	0.089239	11.691	11.914	54.290	73.785	118.72	736.08	-0.0035466	98.351	0.094537	liquid	liquid, P = 25 bar
305.00	25.000	11.024	0.090711	12.287	12.514	56.272	74.697	121.16	701.80	0.0021536	93.216	0.092176	liquid	liquid, P = 25 bar
310.00	25.000	10.834	0.092306	12.896	13.126	58.263	75.639	123.88	666.84	0.0087698	88.233	0.089840	liquid	liquid, P = 25 bar
315.00	25.000	10.633	0.094049	13.518	13.753	60.270	76.616	126.98	631.04	0.016570	83.375	0.087523	liquid	liquid, P = 25 bar
320.00	25.000	10.420	0.095973	14.157	14.397	62.297	77.636	130.58	594.14	0.025945	78.611	0.085215	liquid	liquid, P = 25 bar
325.00	25.000	10.191	0.098125	14.815	15.060	64.354	78.709	134.88	555.83	0.037488	73.908	0.082905	liquid	liquid, P = 25 bar
330.00	25.000	9.9427	0.10058	15.496	15.748	66.452	79.853	140.20	515.60	0.052160	69.219	0.080573	liquid	liquid, P = 25 bar
335.00	25.000	9.6679	0.10344	16.207	16.465	68.610	81.099	147.19	472.71	0.071641	64.480	0.078194	liquid	liquid, P = 25 bar
340.00	25.000	9.3548	0.10690	16.957	17.224	70.859	82.505	157.15	425.81	0.099241	59.587	0.075727	liquid	liquid, P = 25 bar
341.41	25.000	9.2567	0.10803	17.179	17.449	71.519	82.947	160.88	411.51	0.10938	58.153	0.075005	liquid	liquid, P = 25 bar
341.41	25.000	1.3851	0.72199	25.980	27.785	101.79	84.301	145.14	185.95	1.9118	10.373	0.028782	vapor	vapor, P = 25 bar
345.00	25.000	1.3220	0.75640	26.393	28.284	103.25	83.684	133.89	192.38	1.7632	10.399	0.028628	vapor	vapor, P = 25 bar
350.00	25.000	1.2520	0.79872	26.931	28.928	105.10	83.330	124.52	200.02	1.6000	10.463	0.028715	vapor	vapor, P = 25 bar
355.00	25.000	1.1951	0.83674	27.443	29.535	106.82	83.321	118.77	206.65	1.4699	10.544	0.028991	vapor	vapor, P = 25 bar
360.00	25.000	1.1471	0.87179	27.939	30.119	108.45	83.537	114.98	212.58	1.3619	10.636	0.029376	vapor	vapor, P = 25 bar
365.00	25.000	1.1054	0.90465	28.425	30.687	110.02	83.908	112.38	217.98	1.2696	10.736	0.029834	vapor	vapor, P = 25 bar
