Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
575.00	5.0000	0.10616	9.4196	68.546	73.256	220.75	156.38	165.47	290.62	0.34855	14.042	0.056654	vapor	vapor, P = 5 bar
														
280.00	15.000	10.240	0.097652	12.471	12.618	61.223	96.637	135.82	1011.7	-0.035296	192.49	0.11327	liquid	liquid, P = 15 bar
285.00	15.000	10.147	0.098554	13.152	13.300	63.639	97.586	137.24	985.13	-0.033692	183.54	0.11113	liquid	liquid, P = 15 bar
290.00	15.000	10.051	0.099488	13.841	13.990	66.039	98.558	138.72	958.53	-0.031985	175.11	0.10902	liquid	liquid, P = 15 bar
295.00	15.000	9.9546	0.10046	14.537	14.688	68.423	99.552	140.25	931.93	-0.030164	167.14	0.10694	liquid	liquid, P = 15 bar
300.00	15.000	9.8561	0.10146	15.241	15.393	70.793	100.57	141.85	905.32	-0.028215	159.60	0.10490	liquid	liquid, P = 15 bar
305.00	15.000	9.7556	0.10250	15.952	16.106	73.152	101.60	143.51	878.68	-0.026123	152.45	0.10288	liquid	liquid, P = 15 bar
310.00	15.000	9.6531	0.10359	16.673	16.828	75.499	102.65	145.24	851.98	-0.023869	145.64	0.10089	liquid	liquid, P = 15 bar
315.00	15.000	9.5484	0.10473	17.402	17.559	77.837	103.72	147.04	825.19	-0.021429	139.15	0.098937	liquid	liquid, P = 15 bar
320.00	15.000	9.4411	0.10592	18.140	18.299	80.168	104.81	148.93	798.29	-0.018777	132.94	0.097014	liquid	liquid, P = 15 bar
325.00	15.000	9.3312	0.10717	18.887	19.048	82.492	105.91	150.92	771.23	-0.015877	126.99	0.095122	liquid	liquid, P = 15 bar
330.00	15.000	9.2181	0.10848	19.645	19.808	84.812	107.04	153.01	743.97	-0.012688	121.28	0.093261	liquid	liquid, P = 15 bar
335.00	15.000	9.1017	0.10987	20.414	20.578	87.129	108.18	155.22	716.46	-0.0091570	115.78	0.091430	liquid	liquid, P = 15 bar
340.00	15.000	8.9814	0.11134	21.193	21.360	89.446	109.33	157.58	688.63	-0.0052168	110.46	0.089627	liquid	liquid, P = 15 bar
345.00	15.000	8.8568	0.11291	21.985	22.154	91.765	110.51	160.11	660.40	-0.00078039	105.32	0.087851	liquid	liquid, P = 15 bar
350.00	15.000	8.7273	0.11458	22.790	22.962	94.088	111.71	162.85	631.67	0.0042666	100.31	0.086100	liquid	liquid, P = 15 bar
355.00	15.000	8.5921	0.11639	23.609	23.783	96.418	112.94	165.84	602.32	0.010079	95.434	0.084370	liquid	liquid, P = 15 bar
360.00	15.000	8.4502	0.11834	24.443	24.621	98.761	114.19	169.16	572.19	0.016872	90.656	0.082658	liquid	liquid, P = 15 bar
365.00	15.000	8.3002	0.12048	25.295	25.476	101.12	115.49	172.92	541.07	0.024953	85.954	0.080957	liquid	liquid, P = 15 bar
