Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
340.00	30.000	9.9022	0.10099	19.365	22.394	83.662	110.42	144.12	1005.4	-0.34712	161.17	0.11077	liquid	liquid, P = 30 MPa
350.00	30.000	9.7548	0.10251	20.772	23.848	87.875	112.65	146.53	971.05	-0.32841	150.73	0.10807	liquid	liquid, P = 30 MPa
360.00	30.000	9.6064	0.10410	22.202	25.325	92.037	114.90	148.97	937.85	-0.30908	141.27	0.10554	liquid	liquid, P = 30 MPa
370.00	30.000	9.4571	0.10574	23.655	26.827	96.152	117.17	151.41	905.78	-0.28915	132.64	0.10317	liquid	liquid, P = 30 MPa
380.00	30.000	9.3069	0.10745	25.130	28.353	100.22	119.44	153.86	874.84	-0.26858	124.76	0.10097	liquid	liquid, P = 30 MPa
390.00	30.000	9.1557	0.10922	26.627	29.904	104.25	121.71	156.30	845.05	-0.24737	117.53	0.098927	liquid	liquid, P = 30 MPa
400.00	30.000	9.0036	0.11107	28.147	31.479	108.24	123.99	158.73	816.42	-0.22551	110.88	0.097051	liquid	liquid, P = 30 MPa
410.00	30.000	8.8506	0.11299	29.689	33.079	112.19	126.26	161.15	788.97	-0.20301	104.75	0.095337	liquid	liquid, P = 30 MPa
420.00	30.000	8.6969	0.11498	31.253	34.702	116.10	128.51	163.54	762.71	-0.17987	99.080	0.093781	liquid	liquid, P = 30 MPa
430.00	30.000	8.5425	0.11706	32.838	36.349	119.98	130.76	165.91	737.65	-0.15612	93.836	0.092380	supercritical	liquid, P = 30 MPa
440.00	30.000	8.3875	0.11922	34.444	38.020	123.82	132.98	168.24	713.78	-0.13177	88.978	0.091131	supercritical	liquid, P = 30 MPa
450.00	30.000	8.2322	0.12147	36.070	39.714	127.62	135.19	170.53	691.11	-0.10687	84.475	0.090028	supercritical	liquid, P = 30 MPa
460.00	30.000	8.0766	0.12381	37.716	41.431	131.40	137.38	172.77	669.64	-0.081469	80.300	0.089067	supercritical	liquid, P = 30 MPa
470.00	30.000	7.9210	0.12625	39.382	43.169	135.13	139.55	174.97	649.36	-0.055626	76.428	0.088242	supercritical	liquid, P = 30 MPa
480.00	30.000	7.7656	0.12877	41.067	44.930	138.84	141.69	177.12	630.24	-0.029416	72.837	0.087548	supercritical	liquid, P = 30 MPa
490.00	30.000	7.6106	0.13140	42.770	46.712	142.51	143.81	179.21	612.27	-0.0029278	69.510	0.086977	supercritical	liquid, P = 30 MPa
500.00	30.000	7.4563	0.13411	44.490	48.514	146.16	145.90	181.24	595.43	0.023731	66.428	0.086526	supercritical	liquid, P = 30 MPa
510.00	30.000	7.3029	0.13693	46.228	50.336	149.76	147.96	183.21	579.69	0.050435	63.576	0.086187	supercritical	liquid, P = 30 MPa
520.00	30.000	7.1507	0.13985	47.982	52.178	153.34	150.00	185.11	565.03	0.077036	60.938	0.085955	supercritical	liquid, P = 30 MPa
530.00	30.000	6.9999	0.14286	49.752	54.038	156.88	152.01	186.95	551.43	0.10337	58.501	0.085826	supercritical	liquid, P = 30 MPa
540.00	30.000	6.8509	0.14597	51.538	55.917	160.39	153.99	188.72	538.85	0.12924	56.251	0.085794	supercritical	liquid, P = 30 MPa
550.00	30.000	6.7039	0.14917	53.337	57.812	163.87	155.94	190.43	527.27	0.15444	54.177	0.085855	supercritical	liquid, P = 30 MPa
560.00	30.000	6.5591	0.15246	55.151	59.725	167.32	157.87	192.06	516.67	0.17877	52.267	0.086005	supercritical	liquid, P = 30 MPa
570.00	30.000	6.4169	0.15584	56.978	61.653	170.73	159.77	193.62	507.00	0.20202	50.510	0.086240	supercritical	liquid, P = 30 MPa
														
280.00	40.000	10.913	0.091636	11.090	14.756	55.892	98.390	129.72	1295.0	-0.46311	278.11	0.13515	liquid	liquid, P = 40 MPa
290.00	40.000	10.778	0.092777	12.352	16.063	60.479	100.31	131.72	1256.7	-0.45005	255.48	0.13173	liquid	liquid, P = 40 MPa
300.00	40.000	10.644	0.093947	13.633	17.390	64.979	102.30	133.80	1219.3	-0.43660	235.72	0.12843	liquid	liquid, P = 40 MPa
310.00	40.000	10.510	0.095147	14.933	18.739	69.401	104.36	135.94	1183.1	-0.42283	218.33	0.12526	liquid	liquid, P = 40 MPa
320.00	40.000	10.376	0.096378	16.254	20.109	73.751	106.48	138.13	1147.9	-0.40875	202.95	0.12222	liquid	liquid, P = 40 MPa
330.00	40.000	10.241	0.097642	17.596	21.502	78.036	108.64	140.36	1113.8	-0.39440	189.25	0.11933	liquid	liquid, P = 40 MPa
340.00	40.000	10.107	0.098941	18.959	22.917	82.260	110.84	142.62	1080.8	-0.37981	177.00	0.11658	liquid	liquid, P = 40 MPa
350.00	40.000	9.9725	0.10028	20.343	24.354	86.427	113.07	144.91	1048.9	-0.36499	165.97	0.11398	liquid	liquid, P = 40 MPa
360.00	40.000	9.8378	0.10165	21.749	25.815	90.541	115.32	147.21	1018.1	-0.34996	156.01	0.11154	liquid	liquid, P = 40 MPa
370.00	40.000	9.7029	0.10306	23.176	27.299	94.606	117.58	149.52	988.35	-0.33473	146.96	0.10925	liquid	liquid, P = 40 MPa
380.00	40.000	9.5680	0.10452	24.625	28.805	98.624	119.85	151.82	959.72	-0.31932	138.71	0.10711	liquid	liquid, P = 40 MPa
390.00	40.000	9.4329	0.10601	26.095	30.335	102.60	122.12	154.12	932.18	-0.30374	131.17	0.10514	liquid	liquid, P = 40 MPa
400.00	40.000	9.2979	0.10755	27.586	31.888	106.53	124.39	156.41	905.74	-0.28801	124.25	0.10332	liquid	liquid, P = 40 MPa
410.00	40.000	9.1628	0.10914	29.098	33.463	110.42	126.65	158.68	880.39	-0.27213	117.88	0.10166	liquid	liquid, P = 40 MPa
420.00	40.000	9.0278	0.11077	30.630	35.061	114.27	128.90	160.93	856.11	-0.25614	112.00	0.10014	liquid	liquid, P = 40 MPa
430.00	40.000	8.8929	0.11245	32.184	36.682	118.08	131.13	163.15	832.92	-0.24005	106.57	0.098775	supercritical	liquid, P = 40 MPa
440.00	40.000	8.7582	0.11418	33.757	38.324	121.86	133.35	165.34	810.79	-0.22389	101.54	0.097553	supercritical	liquid, P = 40 MPa
450.00	40.000	8.6239	0.11596	35.350	39.988	125.60	135.55	167.50	789.71	-0.20768	96.869	0.096471	supercritical	liquid, P = 40 MPa
460.00	40.000	8.4900	0.11779	36.962	41.674	129.30	137.73	169.62	769.68	-0.19145	92.535	0.095525	supercritical	liquid, P = 40 MPa
470.00	40.000	8.3566	0.11967	38.594	43.380	132.97	139.89	171.70	750.66	-0.17525	88.508	0.094710	supercritical	liquid, P = 40 MPa
480.00	40.000	8.2238	0.12160	40.244	45.108	136.61	142.02	173.74	732.65	-0.15909	84.763	0.094022	supercritical	liquid, P = 40 MPa
490.00	40.000	8.0918	0.12358	41.912	46.855	140.21	144.13	175.74	715.61	-0.14302	81.278	0.093455	supercritical	liquid, P = 40 MPa
500.00	40.000	7.9608	0.12562	43.598	48.622	143.78	146.21	177.70	699.52	-0.12708	78.034	0.093004	supercritical	liquid, P = 40 MPa
510.00	40.000	7.8307	0.12770	45.301	50.409	147.32	148.26	179.61	684.36	-0.11132	75.015	0.092664	supercritical	liquid, P = 40 MPa
520.00	40.000	7.7018	0.12984	47.021	52.214	150.83	150.29	181.48	670.10	-0.095762	72.205	0.092430	supercritical	liquid, P = 40 MPa
530.00	40.000	7.5742	0.13203	48.757	54.038	154.30	152.30	183.30	656.70	-0.080469	69.589	0.092297	supercritical	liquid, P = 40 MPa
540.00	40.000	7.4479	0.13427	50.510	55.880	157.74	154.27	185.08	644.14	-0.065481	67.154	0.092260	supercritical	liquid, P = 40 MPa
550.00	40.000	7.3233	0.13655	52.278	57.740	161.15	156.22	186.82	632.38	-0.050849	64.889	0.092315	supercritical	liquid, P = 40 MPa
560.00	40.000	7.2002	0.13888	54.061	59.616	164.54	158.14	188.51	621.40	-0.036622	62.781	0.092456	supercritical	liquid, P = 40 MPa
570.00	40.000	7.0789	0.14126	55.859	61.510	167.89	160.04	190.15	611.16	-0.022849	60.820	0.092681	supercritical	liquid, P = 40 MPa
