Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
290.00	30.000	10.090	0.099105	13.760	14.058	65.758	98.629	138.15	974.03	-0.033027	178.34	0.11010	liquid	liquid, P = 30 bar
300.00	30.000	9.8996	0.10101	15.151	15.454	70.492	100.63	141.16	922.12	-0.029523	162.74	0.10603	liquid	liquid, P = 30 bar
310.00	30.000	9.7022	0.10307	16.572	16.882	75.172	102.71	144.39	870.28	-0.025531	148.72	0.10209	liquid	liquid, P = 30 bar
320.00	30.000	9.4970	0.10530	18.027	18.343	79.811	104.86	147.88	818.38	-0.020924	136.02	0.098287	liquid	liquid, P = 30 bar
330.00	30.000	9.2825	0.10773	19.517	19.840	84.418	107.07	151.66	766.22	-0.015521	124.39	0.094615	liquid	liquid, P = 30 bar
340.00	30.000	9.0566	0.11042	21.046	21.377	89.006	109.35	155.82	713.55	-0.0090538	113.66	0.091077	liquid	liquid, P = 30 bar
350.00	30.000	8.8168	0.11342	22.618	22.958	93.589	111.69	160.46	660.04	-0.0011172	103.66	0.087665	liquid	liquid, P = 30 bar
360.00	30.000	8.5593	0.11683	24.238	24.589	98.182	114.10	165.78	605.20	0.0089418	94.243	0.084370	liquid	liquid, P = 30 bar
370.00	30.000	8.2787	0.12079	25.915	26.277	102.81	116.62	172.12	548.29	0.022250	85.264	0.081171	liquid	liquid, P = 30 bar
380.00	30.000	7.9662	0.12553	27.660	28.037	107.50	119.28	180.13	488.16	0.040955	76.565	0.078035	liquid	liquid, P = 30 bar
390.00	30.000	7.6058	0.13148	29.496	29.890	112.31	122.20	191.35	422.81	0.069812	67.926	0.074903	liquid	liquid, P = 30 bar
400.00	30.000	7.1622	0.13962	31.470	31.889	117.37	125.62	210.58	348.01	0.12231	58.941	0.071656	liquid	liquid, P = 30 bar
410.00	30.000	6.5128	0.15354	33.746	34.207	123.09	130.45	267.03	250.73	0.26457	48.311	0.068072	liquid	liquid, P = 30 bar
410.85	30.000	6.4340	0.15542	33.972	34.438	123.66	131.03	279.05	240.08	0.29061	47.187	0.067757	liquid	liquid, P = 30 bar
410.85	30.000	1.6821	0.59449	41.687	43.470	145.64	134.55	291.72	140.09	2.0540	12.754	0.041260	vapor	vapor, P = 30 bar
420.00	30.000	1.4246	0.70197	43.519	45.625	150.83	132.14	205.30	161.75	1.5738	12.364	0.038637	vapor	vapor, P = 30 bar
430.00	30.000	1.2754	0.78405	45.192	47.544	155.35	132.30	182.24	177.28	1.3011	12.315	0.038586	vapor	vapor, P = 30 bar
440.00	30.000	1.1738	0.85190	46.755	49.311	159.41	133.32	172.40	189.36	1.1200	12.385	0.039237	vapor	vapor, P = 30 bar
450.00	30.000	1.0968	0.91178	48.272	51.007	163.22	134.72	167.37	199.45	0.98607	12.508	0.040201	vapor	vapor, P = 30 bar
460.00	30.000	1.0348	0.96641	49.767	52.666	166.87	136.31	164.69	208.23	0.88110	12.662	0.041350	vapor	vapor, P = 30 bar
470.00	30.000	0.98303	1.0173	51.254	54.306	170.40	138.03	163.35	216.06	0.79583	12.834	0.042623	vapor	vapor, P = 30 bar
480.00	30.000	0.93874	1.0653	52.740	55.936	173.83	139.83	162.84	223.17	0.72479	13.018	0.043990	vapor	vapor, P = 30 bar
490.00	30.000	0.90009	1.1110	54.231	57.564	177.19	141.68	162.89	229.70	0.66446	13.210	0.045433	vapor	vapor, P = 30 bar
500.00	30.000	0.86587	1.1549	55.731	59.195	180.48	143.56	163.34	235.76	0.61249	13.407	0.046940	vapor	vapor, P = 30 bar
510.00	30.000	0.83521	1.1973	57.240	60.832	183.72	145.46	164.06	241.44	0.56718	13.608	0.048504	vapor	vapor, P = 30 bar
520.00	30.000	0.80748	1.2384	58.762	62.477	186.92	147.37	164.99	246.79	0.52730	13.812	0.050118	vapor	vapor, P = 30 bar
530.00	30.000	0.78220	1.2784	60.297	64.132	190.07	149.28	166.08	251.85	0.49189	14.018	0.051780	vapor	vapor, P = 30 bar
540.00	30.000	0.75900	1.3175	61.846	65.799	193.18	151.19	167.27	256.68	0.46025	14.226	0.053485	vapor	vapor, P = 30 bar
550.00	30.000	0.73758	1.3558	63.411	67.478	196.27	153.09	168.56	261.29	0.43179	14.435	0.055232	vapor	vapor, P = 30 bar
560.00	30.000	0.71771	1.3933	64.991	69.170	199.31	154.98	169.92	265.71	0.40605	14.644	0.057019	vapor	vapor, P = 30 bar
570.00	30.000	0.69919	1.4302	66.586	70.877	202.33	156.85	171.32	269.96	0.38267	14.854	0.058845	vapor	vapor, P = 30 bar
														
280.00	40.000	10.298	0.097106	12.351	12.740	60.788	96.758	135.06	1035.5	-0.036659	198.09	0.11496	liquid	liquid, P = 40 bar
290.00	40.000	10.115	0.098859	13.708	14.104	65.575	98.676	137.81	984.07	-0.033673	180.48	0.11081	liquid	liquid, P = 40 bar
300.00	40.000	9.9276	0.10073	15.093	15.496	70.296	100.68	140.74	932.96	-0.030327	164.81	0.10677	liquid	liquid, P = 40 bar
310.00	40.000	9.7337	0.10274	16.508	16.919	74.961	102.76	143.88	882.04	-0.026542	150.75	0.10287	liquid	liquid, P = 40 bar
320.00	40.000	9.5326	0.10490	17.955	18.375	79.582	104.90	147.24	831.19	-0.022213	138.03	0.099111	liquid	liquid, P = 40 bar
330.00	40.000	9.3232	0.10726	19.436	19.865	84.167	107.11	150.87	780.29	-0.017191	126.42	0.095488	liquid	liquid, P = 40 bar
340.00	40.000	9.1036	0.10985	20.954	21.393	88.729	109.37	154.81	729.15	-0.011264	115.73	0.092005	liquid	liquid, P = 40 bar
350.00	40.000	8.8718	0.11272	22.512	22.962	93.278	111.69	159.14	677.52	-0.0041216	105.80	0.088659	liquid	liquid, P = 40 bar
360.00	40.000	8.6250	0.11594	24.114	24.578	97.828	114.07	163.99	625.09	0.0047117	96.494	0.085442	liquid	liquid, P = 40 bar
370.00	40.000	8.3592	0.11963	25.766	26.245	102.40	116.53	169.58	571.39	0.016004	87.690	0.082342	liquid	liquid, P = 40 bar
380.00	40.000	8.0682	0.12394	27.477	27.973	107.00	119.10	176.27	515.76	0.031089	79.257	0.079340	liquid	liquid, P = 40 bar
390.00	40.000	7.7426	0.12915	29.260	29.776	111.69	121.83	184.82	457.18	0.052521	71.051	0.076402	liquid	liquid, P = 40 bar
400.00	40.000	7.3648	0.13578	31.138	31.681	116.51	124.82	196.97	393.91	0.085967	62.868	0.073468	liquid	liquid, P = 40 bar
410.00	40.000	6.8958	0.14502	33.164	33.744	121.60	128.32	218.06	322.56	0.14732	54.319	0.070433	liquid	liquid, P = 40 bar
420.00	40.000	6.2067	0.16112	35.510	36.154	127.41	133.14	277.88	234.19	0.30781	44.232	0.067141	liquid	liquid, P = 40 bar
430.00	40.000	2.9217	0.34226	41.754	43.123	143.74	144.40	766.98	124.15	1.7332	17.996	0.060737	supercritical	liquid, P = 40 bar
440.00	40.000	2.0562	0.48634	44.836	46.781	152.17	138.12	252.66	153.39	1.3879	14.823	0.046246	supercritical	liquid, P = 40 bar
450.00	40.000	1.7780	0.56242	46.788	49.038	157.24	137.99	207.41	171.01	1.1541	14.238	0.044755	supercritical	liquid, P = 40 bar
