Temperature (K)	Pressure (bar)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/bar)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase	Curve
340.00	12.500	8.9682	0.11150	21.219	21.358	89.522	109.33	157.91	684.27	-0.0045043	109.92	0.089378	liquid	liquid, P = 12.5 bar
345.00	12.500	8.8424	0.11309	22.013	22.154	91.846	110.51	160.49	655.74	6.8905e-05	104.76	0.087592	liquid	liquid, P = 12.5 bar
350.00	12.500	8.7114	0.11479	22.820	22.964	94.175	111.72	163.30	626.65	0.0052917	99.735	0.085829	liquid	liquid, P = 12.5 bar
355.00	12.500	8.5745	0.11663	23.642	23.788	96.513	112.95	166.39	596.88	0.011335	94.834	0.084086	liquid	liquid, P = 12.5 bar
360.00	12.500	8.4304	0.11862	24.480	24.628	98.864	114.22	169.84	566.24	0.018439	90.028	0.082358	liquid	liquid, P = 12.5 bar
363.18	12.500	8.3346	0.11998	25.022	25.172	100.37	115.04	172.27	546.20	0.023660	87.010	0.081264	liquid	liquid, P = 12.5 bar
363.18	12.500	0.54220	1.8443	38.936	41.241	144.61	113.54	140.95	186.12	1.9333	9.2042	0.025296	vapor	vapor, P = 12.5 bar
365.00	12.500	0.53561	1.8670	39.164	41.498	145.32	113.80	140.34	187.82	1.8811	9.2510	0.025486	vapor	vapor, P = 12.5 bar
370.00	12.500	0.51885	1.9273	39.787	42.196	147.22	114.57	139.07	192.24	1.7508	9.3794	0.026026	vapor	vapor, P = 12.5 bar
375.00	12.500	0.50376	1.9851	40.408	42.889	149.08	115.41	138.25	196.35	1.6363	9.5074	0.026589	vapor	vapor, P = 12.5 bar
380.00	12.500	0.49002	2.0407	41.028	43.579	150.91	116.31	137.76	200.19	1.5346	9.6351	0.027170	vapor	vapor, P = 12.5 bar
385.00	12.500	0.47744	2.0945	41.649	44.267	152.71	117.24	137.53	203.80	1.4438	9.7622	0.027767	vapor	vapor, P = 12.5 bar
390.00	12.500	0.46582	2.1468	42.271	44.954	154.48	118.20	137.49	207.22	1.3620	9.8888	0.028378	vapor	vapor, P = 12.5 bar
395.00	12.500	0.45503	2.1976	42.895	45.642	156.23	119.18	137.61	210.48	1.2881	10.015	0.029003	vapor	vapor, P = 12.5 bar
400.00	12.500	0.44497	2.2473	43.522	46.331	157.96	120.18	137.86	213.60	1.2209	10.140	0.029640	vapor	vapor, P = 12.5 bar
405.00	12.500	0.43555	2.2959	44.151	47.021	159.68	121.20	138.22	216.58	1.1595	10.265	0.030288	vapor	vapor, P = 12.5 bar
410.00	12.500	0.42669	2.3436	44.784	47.713	161.38	122.23	138.67	219.45	1.1033	10.390	0.030948	vapor	vapor, P = 12.5 bar
415.00	12.500	0.41833	2.3905	45.420	48.408	163.06	123.27	139.20	222.22	1.0515	10.513	0.031617	vapor	vapor, P = 12.5 bar
420.00	12.500	0.41042	2.4365	46.060	49.105	164.73	124.33	139.79	224.90	1.0037	10.637	0.032297	vapor	vapor, P = 12.5 bar
425.00	12.500	0.40292	2.4819	46.703	49.806	166.39	125.40	140.44	227.49	0.95934	10.760	0.032986	vapor	vapor, P = 12.5 bar
430.00	12.500	0.39578	2.5266	47.351	50.510	168.04	126.47	141.14	230.01	0.91816	10.881	0.033685	vapor	vapor, P = 12.5 bar
435.00	12.500	0.38898	2.5708	48.004	51.217	169.67	127.55	141.87	232.45	0.87978	11.003	0.034393	vapor	vapor, P = 12.5 bar
440.00	12.500	0.38249	2.6144	48.660	51.928	171.30	128.63	142.64	234.83	0.84395	11.124	0.035110	vapor	vapor, P = 12.5 bar
445.00	12.500	0.37628	2.6576	49.322	52.644	172.91	129.72	143.44	237.15	0.81041	11.245	0.035836	vapor	vapor, P = 12.5 bar
450.00	12.500	0.37033	2.7003	49.988	53.363	174.52	130.80	144.27	239.42	0.77896	11.366	0.036571	vapor	vapor, P = 12.5 bar
455.00	12.500	0.36462	2.7426	50.658	54.086	176.12	131.89	145.11	241.63	0.74942	11.485	0.037314	vapor	vapor, P = 12.5 bar
460.00	12.500	0.35913	2.7845	51.333	54.814	177.71	132.98	145.98	243.80	0.72162	11.605	0.038067	vapor	vapor, P = 12.5 bar
465.00	12.500	0.35385	2.8260	52.014	55.546	179.29	134.06	146.85	245.92	0.69541	11.724	0.038827	vapor	vapor, P = 12.5 bar
470.00	12.500	0.34877	2.8672	52.699	56.283	180.87	135.15	147.74	248.00	0.67068	11.843	0.039596	vapor	vapor, P = 12.5 bar
475.00	12.500	0.34386	2.9081	53.388	57.024	182.44	136.23	148.65	250.04	0.64730	11.961	0.040374	vapor	vapor, P = 12.5 bar
